
building_colony_shelter|舰船改装庇护所



building_capital|行星首府



building_major_capital|行星都城



building_system_capital|复合型恒星系首府



#############

# 机械智能建筑

#############



building_deployment_post|部署前哨



building_machine_capital|管理阵列



building_machine_major_capital|行星处理器



building_machine_system_capital|主控枢纽



#############

# 蜂巢思维建筑

#############



building_hive_capital|蜂巢核心



building_hive_major_capital|蜂巢枢纽



#############

# 居住站建筑

#############



building_hab_capital|居住站行政中心



building_hab_major_capital|居住站控制中心



building_hab_system_capital|居住站系统中控



#############

# 特殊

#############



# 度假星球



building_resort_capital|度假星管理处



building_resort_major_capital|度假星首都综合区



# 流放地



building_slave_capital|总督宫殿



building_slave_major_capital|总督庄园



# 星海帝国



building_imperial_capital|帝国宫殿



building_imperial_machine_capital|帝国中枢



building_imperial_hive_capital|帝国主巢



★【01_pop_assembly_buildings】



#############

# 机器人组装建筑

#############



building_robot_assembly_plant|机器人组装厂



building_robot_assembly_complex|机器人装配复合体



#############

# 机械智能建筑

#############



building_machine_assembly_plant|机械组装厂



building_machine_assembly_complex|机械组装复合体



#############

# 蜂巢思维建筑

#############



building_spawning_pool|产卵池



building_offspring_nest|子嗣巢穴



#######################################

# 死灵 "转化" 建筑

#######################################



building_necrophage_elevation_chamber|升格之室



building_necrophage_house_of_apotheosis|尸解仙堂



#############

# 克隆仓

#############



building_clone_vats|克隆仓



building_clone_army_clone_vat|远古克隆仓



#############

# 永身雇佣制建筑

#############



building_posthumous_employment_center|死后就业中心



#############

# 诱变水疗中心类建筑

#############



building_toxic_bath_hive|诱变重构池



building_toxic_bath_machine|超润滑洗槽



#############

# 自动化建筑

#############



building_automation_1|自动化建筑



building_automation_2|优化建筑



building_automation_city_1|自动化建筑



building_automation_city_2|优化建筑



building_automation_generator_1|自动化建筑



building_automation_generator_2|优化建筑



building_automation_mining_1|自动化建筑



building_automation_mining_2|优化建筑



building_automation_farming_1|自动化建筑



building_automation_farming_2|优化建筑



★【02_government_buildings】



#############

# 政府建筑

#############

building_noble_estates|贵族庄园



building_slave_processing|奴隶处理设施



building_precinct_house|警署



building_hall_judgment|审判厅



building_state_academy|国立学院



building_center_of_guidance|指引中心



building_sentinel_posts|护卫哨所



building_order_keep|骑士团主城



building_order_castle|骑士团城堡



#############

# 飞升天赋

#############



#灵能军团

building_psi_corps|灵能军团



building_embassy|大使馆大楼



building_grand_embassy|宏伟大使馆大楼



building_gaiaseeders_1|盖亚播种器 - 一期阶段



building_gaiaseeders_2|盖亚播种器 - 二期阶段



building_gaiaseeders_3|盖亚播种器 - 三期阶段



building_gaiaseeders_4|盖亚播种器 - 收尾阶段



